date,open,high,low,close,volume,Symbol,Name,Industry
2018-01-02,75.09,75.18,74.015,74.36,15819844,C,Citigroup,Banks
2018-01-03,74.35,74.7356,73.97,74.59,14657944,C,Citigroup,Banks
2018-01-04,75.01,76.115,74.66,75.51,16864920,C,Citigroup,Banks
2018-01-05,75.71,75.77,74.96,75.41,15300543,C,Citigroup,Banks
2018-01-08,75.17,75.24,74.331,74.53,14215682,C,Citigroup,Banks
2018-01-09,74.76,75.89,74.6099,75.31,14209525,C,Citigroup,Banks
2018-01-10,75.7,76.2833,75.37,75.65,14007988,C,Citigroup,Banks
2018-01-11,75.98,76.02,75.14,75.56,15459949,C,Citigroup,Banks
2018-01-12,75.9,76.96,75.78,76.84,16946726,C,Citigroup,Banks
2018-01-16,77.76,78.44,76.79,77.11,26181356,C,Citigroup,Banks
2018-01-17,76.89,77.6568,76.1,77.47,20958364,C,Citigroup,Banks
2018-01-18,77.66,77.7,77.08,77.39,15420833,C,Citigroup,Banks
2018-01-19,77.57,78.38,77.43,78.3,17813995,C,Citigroup,Banks
2018-01-22,78.24,78.9,78.05,78.59,11561072,C,Citigroup,Banks
2018-01-23,78.46,78.885,77.96,78.55,10080008,C,Citigroup,Banks
2018-01-24,78.96,79.705,78.66,79.45,18108648,C,Citigroup,Banks
2018-01-25,79.85,80.3901,79.21,79.44,16178829,C,Citigroup,Banks
2018-01-26,79.61,80.08,78.955,80.08,12807783,C,Citigroup,Banks
2018-01-29,80.12,80.7,79.83,79.96,14611142,C,Citigroup,Banks
2018-01-30,79.2,79.6,78.615,78.62,15816875,C,Citigroup,Banks
2018-01-31,78.78,79.39,78.19,78.48,16266280,C,Citigroup,Banks
2018-02-01,78.27,79.23,78.14,79.2,12437151,C,Citigroup,Banks
2018-02-02,78.65,79.06,76.88,77.02,18561206,C,Citigroup,Banks
2018-02-05,75.52,77.225,72.2,73.27,31087807,C,Citigroup,Banks
2018-02-06,71.52,75.19,71.15,74.82,32116677,C,Citigroup,Banks
2018-02-07,74.77,76.075,74.32,74.99,18908378,C,Citigroup,Banks
2018-01-02,31.19,31.19,30.18,30.43,8378789,FITB,Fifth Third Bancorp,Banks
2018-01-03,30.4,30.64,30.29,30.52,5975942,FITB,Fifth Third Bancorp,Banks
2018-01-04,30.73,31.0075,30.56,30.63,7453308,FITB,Fifth Third Bancorp,Banks
2018-01-05,30.72,30.81,30.43,30.71,6212813,FITB,Fifth Third Bancorp,Banks
2018-01-08,30.67,30.81,30.455,30.7,5896187,FITB,Fifth Third Bancorp,Banks
2018-01-09,30.82,31.53,30.76,31.25,4363964,FITB,Fifth Third Bancorp,Banks
2018-01-10,31.32,31.925,31.28,31.58,3413516,FITB,Fifth Third Bancorp,Banks
2018-01-11,31.68,31.9,31.535,31.86,4566188,FITB,Fifth Third Bancorp,Banks
2018-01-12,32.0,32.36,31.87,32.35,4346404,FITB,Fifth Third Bancorp,Banks
2018-01-16,32.4,32.685,32.085,32.28,6128903,FITB,Fifth Third Bancorp,Banks
2018-01-17,32.45,32.56,31.945,32.49,4410808,FITB,Fifth Third Bancorp,Banks
2018-01-18,32.53,32.65,32.07,32.17,4325279,FITB,Fifth Third Bancorp,Banks
2018-01-19,32.12,32.55,32.07,32.5,5417348,FITB,Fifth Third Bancorp,Banks
2018-01-22,32.5,32.875,32.33,32.77,7971228,FITB,Fifth Third Bancorp,Banks
2018-01-23,32.65,33.17,32.06,32.92,7393588,FITB,Fifth Third Bancorp,Banks
2018-01-24,33.17,33.4,32.9134,33.33,5089713,FITB,Fifth Third Bancorp,Banks
2018-01-25,33.51,33.51,32.82,32.84,4496228,FITB,Fifth Third Bancorp,Banks
2018-01-26,32.94,33.395,32.84,33.35,3574471,FITB,Fifth Third Bancorp,Banks
2018-01-29,33.31,33.5889,33.12,33.17,3012163,FITB,Fifth Third Bancorp,Banks
2018-01-30,32.97,33.38,32.88,33.02,4518280,FITB,Fifth Third Bancorp,Banks
2018-01-31,33.08,33.47,32.99,33.1,4431434,FITB,Fifth Third Bancorp,Banks
2018-02-01,33.15,33.67,32.98,33.66,4325502,FITB,Fifth Third Bancorp,Banks
2018-02-02,33.5,33.91,32.995,33.13,4954114,FITB,Fifth Third Bancorp,Banks
2018-02-05,32.68,33.3,31.52,31.7,7591402,FITB,Fifth Third Bancorp,Banks
